Date,State,Negative,Positive,Total Samples
17-04-2020,Andaman and Nicobar Islands,1210,12,1403
24-04-2020,Andaman and Nicobar Islands,,27,2679
27-04-2020,Andaman and Nicobar Islands,,33,2848
01-05-2020,Andaman and Nicobar Islands,,33,3754
16-05-2020,Andaman and Nicobar Islands,,33,6677
19-05-2020,Andaman and Nicobar Islands,,33,6965
20-05-2020,Andaman and Nicobar Islands,,33,7082
21-05-2020,Andaman and Nicobar Islands,,33,7167
22-05-2020,Andaman and Nicobar Islands,,33,7263
23-05-2020,Andaman and Nicobar Islands,,33,7327
24-05-2020,Andaman and Nicobar Islands,,33,7327
25-05-2020,Andaman and Nicobar Islands,,33,7363
26-05-2020,Andaman and Nicobar Islands,,33,7448
27-05-2020,Andaman and Nicobar Islands,,33,7499
28-05-2020,Andaman and Nicobar Islands,,33,7519
29-05-2020,Andaman and Nicobar Islands,,33,7567
30-05-2020,Andaman and Nicobar Islands,,33,7567
31-05-2020,Andaman and Nicobar Islands,,33,7706
01-06-2020,Andaman and Nicobar Islands,,33,7805
02-06-2020,Andaman and Nicobar Islands,,33,8086
03-06-2020,Andaman and Nicobar Islands,,33,8295
04-06-2020,Andaman and Nicobar Islands,,33,8413
05-06-2020,Andaman and Nicobar Islands,,33,8694
06-06-2020,Andaman and Nicobar Islands,,33,9037
07-06-2020,Andaman and Nicobar Islands,,33,9242
08-06-2020,Andaman and Nicobar Islands,,33,9341
09-06-2020,Andaman and Nicobar Islands,,33,9859
10-06-2020,Andaman and Nicobar Islands,,35,10010
11-06-2020,Andaman and Nicobar Islands,,38,10226
12-06-2020,Andaman and Nicobar Islands,,38,10697
02-04-2020,Andhra Pradesh,1175,132,1800
10-04-2020,Andhra Pradesh,6009,365,6374
11-04-2020,Andhra Pradesh,6577,381,6958
12-04-2020,Andhra Pradesh,6553,405,6958
13-04-2020,Andhra Pradesh,8323,432,8755
14-04-2020,Andhra Pradesh,10032,473,10505
15-04-2020,Andhra Pradesh,11088,525,11613
16-04-2020,Andhra Pradesh,19701,534,20235
17-04-2020,Andhra Pradesh,,572,20235
18-04-2020,Andhra Pradesh,20487,603,21450
19-04-2020,Andhra Pradesh,26311,647,26958
20-04-2020,Andhra Pradesh,30011,722,30733
21-04-2020,Andhra Pradesh,34998,757,35755
22-04-2020,Andhra Pradesh,40699,813,41512
23-04-2020,Andhra Pradesh,47139,893,48032
24-04-2020,Andhra Pradesh,53383,955,54338
25-04-2020,Andhra Pradesh,60250,1016,61266
26-04-2020,Andhra Pradesh,66937,1097,68034
27-04-2020,Andhra Pradesh,73374,1177,74551
28-04-2020,Andhra Pradesh,79075,1259,80334
29-04-2020,Andhra Pradesh,86729,1332,88061
30-04-2020,Andhra Pradesh,93155,1403,94558
01-05-2020,Andhra Pradesh,100997,1463,102460
02-05-2020,Andhra Pradesh,106878,1525,108403
03-05-2020,Andhra Pradesh,113354,1583,114937
04-05-2020,Andhra Pradesh,123579,1650,125229
05-05-2020,Andhra Pradesh,131775,1717,133492
06-05-2020,Andhra Pradesh,139497,1777,141274
07-05-2020,Andhra Pradesh,147528,1833,149361
08-05-2020,Andhra Pradesh,154794,1887,156681
09-05-2020,Andhra Pradesh,163139,1930,165069
10-05-2020,Andhra Pradesh,171755,1980,173735
11-05-2020,Andhra Pradesh,179126,2018,181144
12-05-2020,Andhra Pradesh,189823,2051,191874
13-05-2020,Andhra Pradesh,199059,2137,201196
14-05-2020,Andhra Pradesh,208247,2100,210452
15-05-2020,Andhra Pradesh,217183,2157,219490
17-05-2020,Andhra Pradesh,236618,2230,238998
18-05-2020,Andhra Pradesh,246279,2282,248771
19-05-2020,Andhra Pradesh,255961,2339,258450
20-05-2020,Andhra Pradesh,265052,2407,267612
21-05-2020,Andhra Pradesh,273099,2452,275704
22-05-2020,Andhra Pradesh,281452,2514,284119
23-05-2020,Andhra Pradesh,290255,2561,292969
24-05-2020,Andhra Pradesh,301529,2627,304326
25-05-2020,Andhra Pradesh,311680,2671,314566
26-05-2020,Andhra Pradesh,319731,2719,322714
27-05-2020,Andhra Pradesh,329261,2787,332378
28-05-2020,Andhra Pradesh,338991,2841,342236
29-05-2020,Andhra Pradesh,350544,2874,353874
30-05-2020,Andhra Pradesh,359917,2944,363378
31-05-2020,Andhra Pradesh,369177,3045,372748
01-06-2020,Andhra Pradesh,379639,3118,383315
02-06-2020,Andhra Pradesh,391890,3200,395681
03-06-2020,Andhra Pradesh,399776,3279,403747
04-06-2020,Andhra Pradesh,409621,3377,413733
05-06-2020,Andhra Pradesh,419314,3427,423564
06-06-2020,Andhra Pradesh,431875,3588,436335
07-06-2020,Andhra Pradesh,449371,3718,454030
08-06-2020,Andhra Pradesh,463463,3843,468276
09-06-2020,Andhra Pradesh,478332,3990,483361
10-06-2020,Andhra Pradesh,493469,4126,498716
11-06-2020,Andhra Pradesh,504889,4261,510318
12-06-2020,Andhra Pradesh,516457,4402,522093
13-06-2020,Andhra Pradesh,530712,4588,536570
14-06-2020,Andhra Pradesh,546050,4841,552202
09-04-2020,Arunachal Pradesh,185,1,206
14-04-2020,Arunachal Pradesh,250,1,280
17-04-2020,Arunachal Pradesh,338,1,363
18-04-2020,Arunachal Pradesh,358,1,389
20-04-2020,Arunachal Pradesh,405,1,439
21-04-2020,Arunachal Pradesh,433,1,454
22-04-2020,Arunachal Pradesh,441,2,496
24-04-2020,Arunachal Pradesh,508,2,526
26-04-2020,Arunachal Pradesh,529,2,568
27-04-2020,Arunachal Pradesh,566,2,584
28-04-2020,Arunachal Pradesh,581,2,610
29-04-2020,Arunachal Pradesh,595,2,662
30-04-2020,Arunachal Pradesh,656,2,694
01-05-2020,Arunachal Pradesh,692,2,724
03-05-2020,Arunachal Pradesh,761,2,810
04-05-2020,Arunachal Pradesh,762,2,869
05-05-2020,Arunachal Pradesh,814,2,970
06-05-2020,Arunachal Pradesh,857,2,1039
07-05-2020,Arunachal Pradesh,952,2,1144
08-05-2020,Arunachal Pradesh,1015,2,1354
09-05-2020,Arunachal Pradesh,1266,2,1597
10-05-2020,Arunachal Pradesh,1363,2,1823
11-05-2020,Arunachal Pradesh,1538,2,2078
12-05-2020,Arunachal Pradesh,1798,2,2257
13-05-2020,Arunachal Pradesh,1902,2,2483
14-05-2020,Arunachal Pradesh,2233,2,2677
15-05-2020,Arunachal Pradesh,2546,2,2942
16-05-2020,Arunachal Pradesh,2861,2,3163
17-05-2020,Arunachal Pradesh,2966,2,3349
18-05-2020,Arunachal Pradesh,3166,2,3662
19-05-2020,Arunachal Pradesh,3392,2,3941
20-05-2020,Arunachal Pradesh,3710,2,4157
21-05-2020,Arunachal Pradesh,3963,2,4438
22-05-2020,Arunachal Pradesh,4211,2,4844
23-05-2020,Arunachal Pradesh,4340,2,5206
24-05-2020,Arunachal Pradesh,4552,2,5428
25-05-2020,Arunachal Pradesh,4941,2,5997
26-05-2020,Arunachal Pradesh,5083,2,6319
27-05-2020,Arunachal Pradesh,5405,2,6436
28-05-2020,Arunachal Pradesh,5677,3,6984
29-05-2020,Arunachal Pradesh,6268,3,7488
30-05-2020,Arunachal Pradesh,6675,4,8017
31-05-2020,Arunachal Pradesh,7012,4,8283
01-06-2020,Arunachal Pradesh,7528,22,8768
02-06-2020,Arunachal Pradesh,7806,28,9079
03-06-2020,Arunachal Pradesh,7927,38,9551
04-06-2020,Arunachal Pradesh,8552,43,10025
05-06-2020,Arunachal Pradesh,8877,46,10790
06-06-2020,Arunachal Pradesh,9350,49,11261
07-06-2020,Arunachal Pradesh,9921,51,11516
08-06-2020,Arunachal Pradesh,10376,57,12012
09-06-2020,Arunachal Pradesh,10642,57,12455
10-06-2020,Arunachal Pradesh,11420,61,13035
11-06-2020,Arunachal Pradesh,11754,67,13479
12-06-2020,Arunachal Pradesh,12119,87,14047
13-06-2020,Arunachal Pradesh,12817,88,14518
02-04-2020,Assam,819,16,962
10-04-2020,Assam,2685,29,2863
11-04-2020,Assam,2842,29,3011
12-04-2020,Assam,2973,29,3138
14-04-2020,Assam,3267,31,3491
15-04-2020,Assam,3492,32,3613
16-04-2020,Assam,3803,34,4108
17-04-2020,Assam,4024,34,4236
18-04-2020,Assam,4199,34,4400
19-04-2020,Assam,4584,34,4865
20-04-2020,Assam,4937,34,5112
21-04-2020,Assam,5245,34,5514
24-04-2020,Assam,6391,35,6680
25-04-2020,Assam,6781,35,7159
26-04-2020,Assam,7474,35,7823
27-04-2020,Assam,7985,35,8117
29-04-2020,Assam,8771,37,9520
02-05-2020,Assam,10499,42,11623
04-05-2020,Assam,11764,42,12775
05-05-2020,Assam,12533,43,13442
09-05-2020,Assam,15076,59,16167
10-05-2020,Assam,16236,62,18002
11-05-2020,Assam,17813,64,19589
12-05-2020,Assam,19211,64,21791
14-05-2020,Assam,23178,86,25824
15-05-2020,Assam,25431,86,28178
16-05-2020,Assam,28332,91,31276
17-05-2020,Assam,32035,97,34376
18-05-2020,Assam,35159,106,37898
19-05-2020,Assam,38138,141,41116
20-05-2020,Assam,42729,170,47084
21-05-2020,Assam,46442,203,51730
22-05-2020,Assam,50450,259,55791
23-05-2020,Assam,54185,329,60405
24-05-2020,Assam,58972,378,66444
25-05-2020,Assam,62244,526,70029
26-05-2020,Assam,66562,616,72654
29-05-2020,Assam,84933,1024,92390
30-05-2020,Assam,91248,1185,101257
31-05-2020,Assam,101006,1272,109097
02-06-2020,Assam,111229,1513,120375
03-06-2020,Assam,117650,1672,126726
04-06-2020,Assam,122618,1988,133029
06-06-2020,Assam,136154,2397,146605
07-06-2020,Assam,142192,2565,153326
09-06-2020,Assam,159760,2937,169842
11-06-2020,Assam,171070,3319,181108
12-06-2020,Assam,177989,3498,188090
05-04-2020,Bihar,2299,32,3037
08-04-2020,Bihar,,38,4596
09-04-2020,Bihar,,43,4991
10-04-2020,Bihar,,60,5457
11-04-2020,Bihar,,61,6250
12-04-2020,Bihar,,64,6703
13-04-2020,Bihar,,65,7263
14-04-2020,Bihar,,62,7727
15-04-2020,Bihar,,66,8263
16-04-2020,Bihar,,72,8846
17-04-2020,Bihar,,83,9486
18-04-2020,Bihar,,85,10130
19-04-2020,Bihar,,92,10745
20-04-2020,Bihar,,96,11319
21-04-2020,Bihar,,115,11999
22-04-2020,Bihar,,136,12978
23-04-2020,Bihar,,148,13785
24-04-2020,Bihar,,176,14924
25-04-2020,Bihar,,238,15885
26-04-2020,Bihar,,255,17041
27-04-2020,Bihar,,328,18179
28-04-2020,Bihar,,346,19790
29-04-2020,Bihar,,383,21180
30-04-2020,Bihar,,409,22672
01-05-2020,Bihar,,466,24118
02-05-2020,Bihar,,476,25724
03-05-2020,Bihar,,485,26951
04-05-2020,Bihar,,525,28345
05-05-2020,Bihar,,529,28791
06-05-2020,Bihar,,539,29328
07-05-2020,Bihar,,547,29841
08-05-2020,Bihar,,564,30320
09-05-2020,Bihar,,585,31552
10-05-2020,Bihar,,653,32670
11-05-2020,Bihar,,714,34662
12-05-2020,Bihar,,796,37430
13-05-2020,Bihar,,909,39149
14-05-2020,Bihar,,970,40782
15-05-2020,Bihar,,1010,42645
16-05-2020,Bihar,,1083,44340
17-05-2020,Bihar,,1193,45729
18-05-2020,Bihar,,1391,46996
19-05-2020,Bihar,,1495,50563
20-05-2020,Bihar,,1607,53361
21-05-2020,Bihar,,1881,55692
22-05-2020,Bihar,,2098,58481
23-05-2020,Bihar,,2344,61220
24-05-2020,Bihar,,2507,63741
27-05-2020,Bihar,,3010,68262
28-05-2020,Bihar,,3106,70275
29-05-2020,Bihar,,3276,72256
30-05-2020,Bihar,,3511,73929
31-05-2020,Bihar,,3692,75737
01-06-2020,Bihar,,3872,78090
02-06-2020,Bihar,,4049,81413
03-06-2020,Bihar,,4273,84729
04-06-2020,Bihar,,4420,88313
05-06-2020,Bihar,,4551,91903
06-06-2020,Bihar,,4745,95473
07-06-2020,Bihar,,4972,99108
08-06-2020,Bihar,,5176,102318
09-06-2020,Bihar,,5364,105588
10-06-2020,Bihar,,5583,109483
11-06-2020,Bihar,,5807,113225
12-06-2020,Bihar,,6043,116671
13-06-2020,Bihar,,6183,120086
14-06-2020,Bihar,,6355,123629
02-04-2020,Chandigarh,98,18,124
08-04-2020,Chandigarh,162,18,184
10-04-2020,Chandigarh,199,19,223
11-04-2020,Chandigarh,223,19,264
12-04-2020,Chandigarh,247,21,279
13-04-2020,Chandigarh,263,21,296
14-04-2020,Chandigarh,285,21,309
15-04-2020,Chandigarh,293,21,317
16-04-2020,Chandigarh,315,21,337
17-04-2020,Chandigarh,335,21,358
18-04-2020,Chandigarh,348,23,381
19-04-2020,Chandigarh,388,26,430
20-04-2020,Chandigarh,417,26,453
21-04-2020,Chandigarh,445,27,497
22-04-2020,Chandigarh,492,27,529
23-04-2020,Chandigarh,557,27,599
24-04-2020,Chandigarh,603,27,638
25-04-2020,Chandigarh,668,28,734
26-04-2020,Chandigarh,677,30,756
27-04-2020,Chandigarh,777,40,843
28-04-2020,Chandigarh,857,56,924
29-04-2020,Chandigarh,922,67,1012
30-04-2020,Chandigarh,1022,74,1147
01-05-2020,Chandigarh,1131,88,1252
02-05-2020,Chandigarh,1339,94,1462
03-05-2020,Chandigarh,1491,97,1616
04-05-2020,Chandigarh,1545,102,1678
05-05-2020,Chandigarh,1576,115,1713
06-05-2020,Chandigarh,1641,120,1785
07-05-2020,Chandigarh,1698,129,1845
08-05-2020,Chandigarh,1748,146,1913
09-05-2020,Chandigarh,1871,169,2055
10-05-2020,Chandigarh,1947,173,2142
11-05-2020,Chandigarh,1978,173,2177
12-05-2020,Chandigarh,2069,187,2276
13-05-2020,Chandigarh,2206,189,2420
14-05-2020,Chandigarh,2299,191,2505
15-05-2020,Chandigarh,2383,191,2586
16-05-2020,Chandigarh,2513,191,2718
17-05-2020,Chandigarh,2604,191,2812
18-05-2020,Chandigarh,2663,196,2892
19-05-2020,Chandigarh,2783,199,3031
21-05-2020,Chandigarh,3125,216,3369
22-05-2020,Chandigarh,3234,219,3531
23-05-2020,Chandigarh,3390,225,3749
24-05-2020,Chandigarh,3514,238,3904
25-05-2020,Chandigarh,3695,266,4089
26-05-2020,Chandigarh,3828,278,4207
27-05-2020,Chandigarh,3991,279,4332
28-05-2020,Chandigarh,4138,289,4467
29-05-2020,Chandigarh,4222,289,4543
30-05-2020,Chandigarh,4342,289,4654
31-05-2020,Chandigarh,4478,293,4785
01-06-2020,Chandigarh,4495,294,4816
02-06-2020,Chandigarh,4573,301,4902
03-06-2020,Chandigarh,4658,301,4977
04-06-2020,Chandigarh,4735,302,5059
05-06-2020,Chandigarh,4793,309,5121
06-06-2020,Chandigarh,4906,309,5237
07-06-2020,Chandigarh,4977,314,5312
08-06-2020,Chandigarh,5040,318,5385
10-06-2020,Chandigarh,5182,328,5532
11-06-2020,Chandigarh,5267,332,5636
12-06-2020,Chandigarh,5342,334,5708
13-06-2020,Chandigarh,5459,345,5839
14-06-2020,Chandigarh,5563,350,5937
02-04-2020,Chhattisgarh,921,9,1232
10-04-2020,Chhattisgarh,3322,18,3473
11-04-2020,Chhattisgarh,3503,18,3858
12-04-2020,Chhattisgarh,3856,31,3945
13-04-2020,Chhattisgarh,3969,31,4377
14-04-2020,Chhattisgarh,4319,33,4812
15-04-2020,Chhattisgarh,4878,33,5122
16-04-2020,Chhattisgarh,5168,33,5519
17-04-2020,Chhattisgarh,5484,36,5776
18-04-2020,Chhattisgarh,5484,36,5776
19-04-2020,Chhattisgarh,6086,36,6675
20-04-2020,Chhattisgarh,7029,36,7601
21-04-2020,Chhattisgarh,7555,36,8272
22-04-2020,Chhattisgarh,8296,36,9220
23-04-2020,Chhattisgarh,9206,36,10346
24-04-2020,Chhattisgarh,10213,36,11386
25-04-2020,Chhattisgarh,11168,37,12596
26-04-2020,Chhattisgarh,12406,37,13786
27-04-2020,Chhattisgarh,13882,37,14987
28-04-2020,Chhattisgarh,14953,38,15737
29-04-2020,Chhattisgarh,15658,38,16546
30-04-2020,Chhattisgarh,16602,40,17541
01-05-2020,Chhattisgarh,17199,43,18039
03-05-2020,Chhattisgarh,18848,57,19902
05-05-2020,Chhattisgarh,20300,58,21323
06-05-2020,Chhattisgarh,20873,59,22188
08-05-2020,Chhattisgarh,22509,59,23629
09-05-2020,Chhattisgarh,23326,59,24506
10-05-2020,Chhattisgarh,24186,59,25282
12-05-2020,Chhattisgarh,25741,59,27339
13-05-2020,Chhattisgarh,27012,59,28837
14-05-2020,Chhattisgarh,28234,59,29697
15-05-2020,Chhattisgarh,29812,66,31341
16-05-2020,Chhattisgarh,31275,67,32678
18-05-2020,Chhattisgarh,34656,93,36606
19-05-2020,Chhattisgarh,36586,100,39010
21-05-2020,Chhattisgarh,42618,128,45522
22-05-2020,Chhattisgarh,45022,172,48116
23-05-2020,Chhattisgarh,46894,214,49763
25-05-2020,Chhattisgarh,52598,292,55022
26-05-2020,Chhattisgarh,55539,360,57479
27-05-2020,Chhattisgarh,57283,364,59320
28-05-2020,Chhattisgarh,59585,398,61771
29-05-2020,Chhattisgarh,62983,415,63992
30-05-2020,Chhattisgarh,64762,447,66417
31-05-2020,Chhattisgarh,67268,492,69152
01-06-2020,Chhattisgarh,69361,539,70726
02-06-2020,Chhattisgarh,71218,556,73198
03-06-2020,Chhattisgarh,73706,626,76446
04-06-2020,Chhattisgarh,75519,756,78971
05-06-2020,Chhattisgarh,78134,863,81773
06-06-2020,Chhattisgarh,80477,923,85346
07-06-2020,Chhattisgarh,84344,1073,88896
08-06-2020,Chhattisgarh,86719,1160,92598
09-06-2020,Chhattisgarh,89914,1211,93059
10-06-2020,Chhattisgarh,92049,1262,94576
11-06-2020,Chhattisgarh,93903,1398,96230
12-06-2020,Chhattisgarh,95965,1429,98603
13-06-2020,Chhattisgarh,,1512,101554
14-06-2020,Chhattisgarh,,1549,103895
09-04-2020,Dadra and Nagar Haveli and Daman and Diu,80,0,80
10-04-2020,Dadra and Nagar Haveli and Daman and Diu,130,0,130
11-04-2020,Dadra and Nagar Haveli and Daman and Diu,211,0,211
15-04-2020,Dadra and Nagar Haveli and Daman and Diu,356,0,356
16-04-2020,Dadra and Nagar Haveli and Daman and Diu,382,0,382
21-04-2020,Dadra and Nagar Haveli and Daman and Diu,474,0,474
22-04-2020,Dadra and Nagar Haveli and Daman and Diu,674,0,674
23-04-2020,Dadra and Nagar Haveli and Daman and Diu,913,0,913
25-04-2020,Dadra and Nagar Haveli and Daman and Diu,1386,0,1386
26-04-2020,Dadra and Nagar Haveli and Daman and Diu,1901,0,1901
27-04-2020,Dadra and Nagar Haveli and Daman and Diu,2379,0,2379
29-04-2020,Dadra and Nagar Haveli and Daman and Diu,2921,0,2921
30-04-2020,Dadra and Nagar Haveli and Daman and Diu,3464,0,3464
01-05-2020,Dadra and Nagar Haveli and Daman and Diu,4003,0,4003
03-05-2020,Dadra and Nagar Haveli and Daman and Diu,4328,0,4328
04-05-2020,Dadra and Nagar Haveli and Daman and Diu,4434,0,4434
05-05-2020,Dadra and Nagar Haveli and Daman and Diu,4780,1,4781
06-05-2020,Dadra and Nagar Haveli and Daman and Diu,4966,1,4967
07-05-2020,Dadra and Nagar Haveli and Daman and Diu,5271,1,5272
08-05-2020,Dadra and Nagar Haveli and Daman and Diu,5429,1,5430
10-05-2020,Dadra and Nagar Haveli and Daman and Diu,5580,1,5581
11-05-2020,Dadra and Nagar Haveli and Daman and Diu,5762,1,5763
12-05-2020,Dadra and Nagar Haveli and Daman and Diu,5976,1,5977
13-05-2020,Dadra and Nagar Haveli and Daman and Diu,6293,1,6294
14-05-2020,Dadra and Nagar Haveli and Daman and Diu,6553,1,6554
15-05-2020,Dadra and Nagar Haveli and Daman and Diu,6915,1,6916
17-05-2020,Dadra and Nagar Haveli and Daman and Diu,7156,1,7157
18-05-2020,Dadra and Nagar Haveli and Daman and Diu,7570,1,7571
19-05-2020,Dadra and Nagar Haveli and Daman and Diu,7828,1,7829
20-05-2020,Dadra and Nagar Haveli and Daman and Diu,8136,1,8137
21-05-2020,Dadra and Nagar Haveli and Daman and Diu,8455,1,8456
22-05-2020,Dadra and Nagar Haveli and Daman and Diu,8978,1,8979
23-05-2020,Dadra and Nagar Haveli and Daman and Diu,9296,2,9298
24-05-2020,Dadra and Nagar Haveli and Daman and Diu,9676,2,9678
25-05-2020,Dadra and Nagar Haveli and Daman and Diu,10083,2,10085
26-05-2020,Dadra and Nagar Haveli and Daman and Diu,10386,2,10388
27-05-2020,Dadra and Nagar Haveli and Daman and Diu,10870,2,10872
28-05-2020,Dadra and Nagar Haveli and Daman and Diu,11175,2,11177
29-05-2020,Dadra and Nagar Haveli and Daman and Diu,11475,2,11477
01-06-2020,Dadra and Nagar Haveli and Daman and Diu,11690,3,11693
03-06-2020,Dadra and Nagar Haveli and Daman and Diu,12052,12,12064
04-06-2020,Dadra and Nagar Haveli and Daman and Diu,12361,14,12375
05-06-2020,Dadra and Nagar Haveli and Daman and Diu,13653,14,13667
06-06-2020,Dadra and Nagar Haveli and Daman and Diu,14761,19,14780
07-06-2020,Dadra and Nagar Haveli and Daman and Diu,14926,20,15546
08-06-2020,Dadra and Nagar Haveli and Daman and Diu,15655,22,16277
10-06-2020,Dadra and Nagar Haveli and Daman and Diu,16552,27,17179
13-06-2020,Dadra and Nagar Haveli and Daman and Diu,17021,28,17649
14-06-2020,Dadra and Nagar Haveli and Daman and Diu,17813,31,18445
01-04-2020,Delhi,,,2621
07-04-2020,Delhi,7308,576,9041
09-04-2020,Delhi,8643,720,9968
10-04-2020,Delhi,9662,903,11061
11-04-2020,Delhi,10218,1069,11709
12-04-2020,Delhi,11748,1154,14036
13-04-2020,Delhi,12283,1510,15032
14-04-2020,Delhi,13748,1561,16282
15-04-2020,Delhi,13865,1578,16605
16-04-2020,Delhi,14692,1640,18784
17-04-2020,Delhi,16899,1707,21409
18-04-2020,Delhi,17449,1893,22283
19-04-2020,Delhi,19393,2003,24387
20-04-2020,Delhi,20712,2081,25900
21-04-2020,Delhi,21810,2156,26627
22-04-2020,Delhi,22713,2248,28309
23-04-2020,Delhi,24538,2375,30560
24-04-2020,Delhi,26552,2514,33672
25-04-2020,Delhi,28693,2625,35519
26-04-2020,Delhi,31919,2918,37613
27-04-2020,Delhi,34145,3108,39911
28-04-2020,Delhi,36195,3314,43370
29-04-2020,Delhi,39920,3439,47225
02-05-2020,Delhi,,4122,58210
03-05-2020,Delhi,,4549,60246
04-05-2020,Delhi,,4898,64108
05-05-2020,Delhi,,5104,67852
06-05-2020,Delhi,,5532,71934
07-05-2020,Delhi,,5980,77234
08-05-2020,Delhi,,6318,81367
09-05-2020,Delhi,,6542,84226
